epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,8823.97,0.76733,0.38181,1.0338,0.83583,0.62749,0.74444,0.44819,1.6314,1.14367,1.88291,0.0008912,0.0008912,0.0008912
58,8975.01,0.76775,0.37956,1.03392,0.78633,0.63858,0.74438,0.45303,1.60788,1.08132,1.85304,0.0008714,0.0008714,0.0008714
59,9126.03,0.74526,0.37417,1.02356,0.81609,0.66297,0.75964,0.45621,1.60013,1.06869,1.81925,0.0008516,0.0008516,0.0008516
60,9276.64,0.7371,0.36886,1.01754,0.8094,0.6541,0.75684,0.44449,1.63959,1.11116,1.88715,0.0008318,0.0008318,0.0008318
61,9427.35,0.74253,0.3608,1.01981,0.84266,0.65188,0.7583,0.44801,1.64942,1.13227,1.89367,0.000812,0.000812,0.000812
62,9578.92,0.73576,0.36372,1.01788,0.7937,0.68244,0.77175,0.4535,1.62616,1.06471,1.8886,0.0007922,0.0007922,0.0007922
63,9729.5,0.72147,0.35575,1.01396,0.80277,0.64967,0.76238,0.45116,1.61248,1.11815,1.92121,0.0007724,0.0007724,0.0007724
64,9880.76,0.71704,0.35854,1.0118,0.80427,0.63636,0.75488,0.44862,1.63231,1.12795,1.89723,0.0007526,0.0007526,0.0007526
65,10031.1,0.71003,0.35363,1.00612,0.80716,0.64745,0.75756,0.46013,1.59698,1.15991,1.8795,0.0007328,0.0007328,0.0007328
66,10183.1,0.70192,0.34915,1.0029,0.80968,0.64302,0.75233,0.45767,1.60507,1.14461,1.83839,0.000713,0.000713,0.000713
67,10333.9,0.70235,0.35092,1.00218,0.79102,0.66962,0.76219,0.46775,1.55903,1.18161,1.85472,0.0006932,0.0006932,0.0006932
68,10485.3,0.69758,0.34739,1.00404,0.85542,0.59867,0.73672,0.44232,1.62811,1.21524,1.94681,0.0006734,0.0006734,0.0006734
69,10634.2,0.68916,0.33664,0.99171,0.83941,0.59202,0.71959,0.42878,1.66705,1.25086,1.97157,0.0006536,0.0006536,0.0006536
70,10783.5,0.67524,0.3335,0.98761,0.77761,0.66075,0.76042,0.45959,1.61655,1.17029,1.94602,0.0006338,0.0006338,0.0006338
71,10931.7,0.67607,0.33784,0.98961,0.80655,0.6408,0.75623,0.45558,1.62009,1.15765,1.95447,0.000614,0.000614,0.000614
72,11087.4,0.67992,0.33411,0.99772,0.80351,0.64302,0.75711,0.46064,1.63333,1.18388,1.94867,0.0005942,0.0005942,0.0005942
73,11242.4,0.66683,0.3278,0.98414,0.82673,0.62419,0.74098,0.45179,1.6435,1.22677,1.96513,0.0005744,0.0005744,0.0005744
74,11395.8,0.64598,0.32104,0.97505,0.81787,0.65632,0.76,0.46067,1.62201,1.18171,1.92262,0.0005546,0.0005546,0.0005546
75,11548,0.65147,0.32298,0.9808,0.81409,0.67406,0.76515,0.46774,1.63444,1.22543,1.94946,0.0005348,0.0005348,0.0005348
76,11701.1,0.64757,0.31521,0.97343,0.80665,0.68455,0.77501,0.47235,1.61237,1.06871,1.94103,0.000515,0.000515,0.000515
77,11854.2,0.64304,0.3145,0.97518,0.84255,0.62884,0.76774,0.46203,1.64434,1.14733,1.95432,0.0004952,0.0004952,0.0004952
78,12005.8,0.62999,0.30757,0.96451,0.82985,0.6408,0.7586,0.45738,1.62718,1.21796,1.89007,0.0004754,0.0004754,0.0004754
79,12154.9,0.63196,0.31499,0.96723,0.78373,0.66519,0.75865,0.46103,1.6288,1.21152,1.91465,0.0004556,0.0004556,0.0004556
80,12306.6,0.62461,0.3066,0.9671,0.83216,0.62528,0.76355,0.46797,1.61905,1.14029,1.92195,0.0004358,0.0004358,0.0004358
81,12459.1,0.61086,0.30269,0.95801,0.86209,0.62084,0.77125,0.46655,1.61682,1.09602,1.91563,0.000416,0.000416,0.000416
