epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4752.45,0.82891,0.4064,0.98448,0.75281,0.64828,0.74408,0.4437,1.62825,1.12386,1.67885,0.0052975,0.0052975,0.0052975
59,4827.61,0.81098,0.39937,0.97932,0.7701,0.62306,0.72251,0.43911,1.60543,1.16774,1.67192,0.005215,0.005215,0.005215
60,4902,0.80712,0.4016,0.97731,0.7967,0.61692,0.72233,0.42784,1.65103,1.22249,1.75526,0.0051325,0.0051325,0.0051325
61,4977.02,0.79217,0.39341,0.9731,0.77009,0.65356,0.73648,0.44435,1.6049,1.16582,1.68009,0.00505,0.00505,0.00505
62,5051.08,0.79335,0.39263,0.97008,0.75956,0.67943,0.74809,0.44241,1.63287,1.18737,1.73356,0.0049675,0.0049675,0.0049675
63,5124.92,0.78755,0.3892,0.9718,0.70666,0.67627,0.72647,0.4273,1.68997,1.12241,1.80719,0.004885,0.004885,0.004885
64,5198.91,0.78286,0.3936,0.97322,0.73862,0.66419,0.73199,0.43208,1.66233,1.1854,1.76438,0.0048025,0.0048025,0.0048025
65,5274.41,0.7772,0.38671,0.96397,0.72009,0.6959,0.75662,0.45043,1.62252,1.11296,1.70814,0.00472,0.00472,0.00472
66,5348.96,0.77208,0.38152,0.96379,0.75693,0.66075,0.73775,0.44112,1.63399,1.17262,1.75246,0.0046375,0.0046375,0.0046375
67,5423.42,0.77032,0.38322,0.96162,0.76397,0.61863,0.70106,0.42965,1.62202,1.27042,1.75502,0.004555,0.004555,0.004555
68,5498.2,0.76384,0.38015,0.96254,0.70807,0.68736,0.72592,0.44544,1.57817,1.1987,1.67981,0.0044725,0.0044725,0.0044725
69,5574.56,0.75608,0.37287,0.95873,0.80838,0.62671,0.7205,0.43056,1.65622,1.24066,1.77049,0.00439,0.00439,0.00439
70,5650.68,0.74379,0.36922,0.95377,0.79919,0.62971,0.73449,0.43839,1.62352,1.19393,1.74831,0.0043075,0.0043075,0.0043075
71,5726.85,0.73826,0.36935,0.95164,0.72592,0.65188,0.70554,0.42975,1.6016,1.22537,1.72043,0.004225,0.004225,0.004225
72,5801.8,0.75112,0.37156,0.95871,0.7165,0.66127,0.72383,0.42728,1.62065,1.12109,1.75372,0.0041425,0.0041425,0.0041425
73,5876.4,0.73969,0.3654,0.94867,0.76983,0.67184,0.75153,0.4561,1.62237,1.12379,1.74743,0.00406,0.00406,0.00406
74,5951.24,0.72015,0.35473,0.94513,0.77401,0.6683,0.75273,0.45039,1.60959,1.15992,1.74658,0.0039775,0.0039775,0.0039775
75,6026.35,0.72744,0.35671,0.94513,0.82559,0.62975,0.75459,0.46578,1.56875,1.1656,1.6832,0.003895,0.003895,0.003895
76,6102.46,0.70965,0.35195,0.93623,0.73402,0.68534,0.74148,0.45179,1.59483,1.0998,1.74454,0.0038125,0.0038125,0.0038125
77,6178.18,0.71216,0.34784,0.94204,0.82268,0.62752,0.74732,0.43738,1.62541,1.17778,1.75701,0.00373,0.00373,0.00373
78,6254.26,0.70252,0.34426,0.93693,0.7234,0.67849,0.73756,0.45251,1.58604,1.19617,1.71693,0.0036475,0.0036475,0.0036475
79,6330.12,0.69866,0.34487,0.93584,0.72086,0.68958,0.75743,0.44815,1.5994,1.08794,1.77532,0.003565,0.003565,0.003565
80,6405.5,0.6971,0.34339,0.94308,0.82676,0.64547,0.75814,0.44345,1.59887,1.08782,1.75758,0.0034825,0.0034825,0.0034825
81,6481.52,0.68354,0.3386,0.92663,0.74031,0.68736,0.74855,0.44497,1.59879,1.11236,1.76022,0.0034,0.0034,0.0034
82,6557.81,0.69236,0.34332,0.93029,0.75014,0.67184,0.74204,0.43224,1.63095,1.10077,1.80589,0.0033175,0.0033175,0.0033175
83,6633.68,0.68525,0.34288,0.92817,0.81876,0.63107,0.75264,0.43796,1.64493,1.15003,1.79389,0.003235,0.003235,0.003235
84,6708.8,0.67105,0.33365,0.9245,0.7726,0.65541,0.72339,0.42303,1.63083,1.17702,1.81756,0.0031525,0.0031525,0.0031525
85,6783.55,0.66968,0.33307,0.92169,0.6965,0.65134,0.69406,0.40975,1.61737,1.23825,1.80034,0.00307,0.00307,0.00307
86,6858.57,0.66904,0.33205,0.92175,0.67552,0.68958,0.71234,0.42742,1.59473,1.22222,1.7743,0.0029875,0.0029875,0.0029875
87,6932.77,0.6551,0.32823,0.92419,0.75939,0.65782,0.73888,0.44152,1.6156,1.22868,1.79539,0.002905,0.002905,0.002905
88,7008.12,0.65023,0.32404,0.91884,0.7758,0.64302,0.73769,0.44194,1.60243,1.21443,1.77043,0.0028225,0.0028225,0.0028225
